"exampleName","run","status","scored","mark","overallScore","elapsedSeconds","lowMarkRun"
"test-SG-1",1,"scored",TRUE,9.19,91.9,12.5,FALSE
"test-SG-1",2,"scored",TRUE,9.19,91.9,12.1,FALSE
"test-SG-1",3,"scored",TRUE,10,100,14.1,FALSE
"test-SG-2",1,"scored",TRUE,10,100,11.8,FALSE
"test-SG-2",2,"scored",TRUE,10,100,14.2,FALSE
"test-SG-2",3,"scored",TRUE,10,100,13.5,FALSE
"test-SG-3",1,"scored",TRUE,10,100,11.9,FALSE
"test-SG-3",2,"scored",TRUE,4,40,14.3,TRUE
"test-SG-3",3,"scored",TRUE,4,40,13.4,TRUE
"test-SG-4",1,"scored",TRUE,9.62,96.2,19.7,FALSE
"test-SG-4",2,"scored",TRUE,4,40,14.2,TRUE
"test-SG-4",3,"scored",TRUE,4,40,12.5,TRUE
"test-SG-5",1,"scored",TRUE,10,100,12.3,FALSE
"test-SG-5",2,"scored",TRUE,10,100,11,FALSE
"test-SG-5",3,"scored",TRUE,9.62,96.2,15.9,FALSE
