"exampleName","metricLabel","runCount","minValue","medianValue","maxValue","valueSpread","unstableMetric"
"test-SG-1","Overall score",3,91.9,91.9,100,8.09999999999999,TRUE
"test-SG-3","Overall score",3,40,40,100,60,TRUE
"test-SG-3","Effect direction correct",3,0,0,2,2,TRUE
"test-SG-3","Effect scale appropriate",3,0,0,2,2,TRUE
"test-SG-3","Main-effect coverage adequate",3,0,0,2,2,TRUE
"test-SG-3","Factual score",3,0.75,0.75,2,1.25,TRUE
"test-SG-3","Clarity adequate",3,1,1,2,1,TRUE
"test-SG-3","Comparison structure clear",3,1,1,2,1,TRUE
"test-SG-3","Numeric expression adequate",3,1,1,2,1,TRUE
"test-SG-3","Reference-group coverage adequate",3,1,1,2,1,TRUE
"test-SG-3","Reference group handled correctly",3,1,1,2,1,TRUE
"test-SG-4","Overall score",3,40,40,96.2,56.2,TRUE
"test-SG-4","Effect direction correct",3,0,0,2,2,TRUE
"test-SG-4","Main-effect coverage adequate",3,0,0,2,2,TRUE
"test-SG-4","Numeric expression adequate",3,1,1,2,1,TRUE
"test-SG-5","Overall score",3,96.2,100,100,3.8,TRUE
"test-SG-5","Effect scale appropriate",3,1,2,2,1,TRUE
